,Code du departement,Libelle du departement,Code de la circonscription,Libelle de la circonscription,Code de la commune,Libelle de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimes,% Exp/Ins,% Exp/Vot,No Panneau,Sexe,Nom,Prenom,Voix,% Voix/Ins,% Voix/Exp,No Panneau2,Sexe2,Nom2,Prenom2,Voix2,% Voix/Ins2,% Voix/Exp2
51761,75.0,Paris,6,6eme circonscription,56,Paris,2075.0,1702,502,"29,49",1200,"70,51",83,"4,88","6,92",15,"0,88","1,25",1102,"64,75","91,83",1,M,MACRON,Emmanuel,1025,"60,22","93,01",2,F,LE PEN,Marine,77,"4,52","6,99"
51762,75.0,Paris,6,6eme circonscription,56,Paris,2076.0,1815,470,"25,9",1345,"74,1",80,"4,41","5,95",23,"1,27","1,71",1242,"68,43","92,34",1,M,MACRON,Emmanuel,1160,"63,91","93,4",2,F,LE PEN,Marine,82,"4,52","6,6"
51763,75.0,Paris,7,7eme circonscription,56,Paris,401.0,1243,293,"23,57",950,"76,43",62,"4,99","6,53",26,"2,09","2,74",862,"69,35","90,74",1,M,MACRON,Emmanuel,748,"60,18","86,77",2,F,LE PEN,Marine,114,"9,17","13,23"
51764,75.0,Paris,7,7eme circonscription,56,Paris,402.0,1116,212,19,904,81,50,"4,48","5,53",17,"1,52","1,88",837,75,"92,59",1,M,MACRON,Emmanuel,769,"68,91","91,88",2,F,LE PEN,Marine,68,"6,09","8,12"
51765,75.0,Paris,7,7eme circonscription,56,Paris,403.0,1365,276,"20,22",1089,"79,78",52,"3,81","4,78",20,"1,47","1,84",1017,"74,51","93,39",1,M,MACRON,Emmanuel,949,"69,52","93,31",2,F,LE PEN,Marine,68,"4,98","6,69"
51766,75.0,Paris,7,7eme circonscription,56,Paris,404.0,1283,230,"17,93",1053,"82,07",54,"4,21","5,13",24,"1,87","2,28",975,"75,99","92,59",1,M,MACRON,Emmanuel,885,"68,98","90,77",2,F,LE PEN,Marine,90,"7,01","9,23"
51767,75.0,Paris,7,7eme circonscription,56,Paris,405.0,1417,220,"15,53",1197,"84,47",44,"3,11","3,68",19,"1,34","1,59",1134,"80,03","94,74",1,M,MACRON,Emmanuel,1031,"72,76","90,92",2,F,LE PEN,Marine,103,"7,27","9,08"
51768,75.0,Paris,7,7eme circonscription,56,Paris,406.0,1660,313,"18,86",1347,"81,14",64,"3,86","4,75",15,"0,9","1,11",1268,"76,39","94,14",1,M,MACRON,Emmanuel,1187,"71,51","93,61",2,F,LE PEN,Marine,81,"4,88","6,39"
51769,75.0,Paris,7,7eme circonscription,56,Paris,407.0,1313,215,"16,37",1098,"83,63",39,"2,97","3,55",18,"1,37","1,64",1041,"79,28","94,81",1,M,MACRON,Emmanuel,924,"70,37","88,76",2,F,LE PEN,Marine,117,"8,91","11,24"
51770,75.0,Paris,7,7eme circonscription,56,Paris,408.0,1512,293,"19,38",1219,"80,62",70,"4,63","5,74",18,"1,19","1,48",1131,"74,8","92,78",1,M,MACRON,Emmanuel,945,"62,5","83,55",2,F,LE PEN,Marine,186,"12,3","16,45"
51771,75.0,Paris,7,7eme circonscription,56,Paris,409.0,1022,184,18,838,82,55,"5,38","6,56",12,"1,17","1,43",771,"75,44",92,1,M,MACRON,Emmanuel,680,"66,54","88,2",2,F,LE PEN,Marine,91,"8,9","11,8"
51772,75.0,Paris,7,7eme circonscription,56,Paris,410.0,1028,211,"20,53",817,"79,47",50,"4,86","6,12",14,"1,36","1,71",753,"73,25","92,17",1,M,MACRON,Emmanuel,659,"64,11","87,52",2,F,LE PEN,Marine,94,"9,14","12,48"
